"groundName","location","price"
"Agawali","Jaipur","₹ 100/hr-day"
"AHLAWAT GAME CITY","Khatauli","₹ 1500/hr-day, 1500/hr-night"
"Air field Punj Ground","Kupwara","₹ -"
"Air India Sports Club Ground","Mumbai","₹ N/A"
"Airforce Ground","Merta","₹ N/A"
"Airliner Bharati College","Delhi","₹ N/A"
"Airliner DTEA","New Delhi","₹ N/A"
"Ajad Cricket Club Rajour Ground","Toda Bhim","₹ 100/hr-day, 500/hr-night"
"AJBOYZ AMCC GROUND SAJJA","Sharjah","₹ N/A"
"Ajit pal Ground","Karnal","₹ 1000/hr-day, 1000/hr-night"
"Ground U14","Kosamba","₹ 60/hr-day"
"Jp Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"M Sports Cricket Park","Hyderabad (Telangana)","₹ N/A"
"Mango Tree Cricket Ground","Gandhinagar","₹ N/A"
"Newlands Cricket Ground","Noida","₹ 4000/hr-day"
"Palwali Cricket Ground.","Faridabad","₹ 0/hr-day, 0/hr-night"
"Rasul Cricket Ground","Mandi Bahauddin","₹ 0/hr-day, 0/hr-night"
"(MGC)mandi Ground Chhattisgarh (whatsapp)","Chandigarh","₹ N/A"
"(New) NARAYANA SPORTS ACADEMY GROUND","Jaipur","₹ N/A"
"1 Weekend WarZone","Gurgaon","₹ 4000/hr-day, 5000/hr-night"
"2 No. School Cricket Ground","Balotra","₹ 1500/hr-day, 1000/hr-night"
"22 Yards Cricket Da Adda","Greater Noida","₹ 4000/hr-day, 4/hr-night"
"AKSIS CRICKET ACADEMY","New Delhi","₹ N/A"
"Al Ain Cricket Club","Al Ain","₹ 1000/hr-day, 1500/hr-night"
"Al Batayeh Cricket Ground 1.","Sharjah","₹ 400/hr-day, 450/hr-night"
"Al Bilal Cricket Club","Lahore","₹ N/A"
"Al Falah Cricket Ground","Faridabad","₹ 5000/hr-day, 0/hr-night"
"Al Sajah Cricket ground","Ajman","₹ 20/hr-day, 300/hr-night"
"AL-ESKAN GROUND","Abu Dhabi","₹ 150/hr-day"
"All Stars Cricket Ground","Kappiyarai","₹ 25/hr-day, 25/hr-night"
"Allrounder Cricket Malad","Mumbai","₹ N/A"
"alpha cricket ground","Junagadh","₹ 300/hr-day, 400/hr-night"
"Altiore Sports Ground","Bengaluru (Bangalore)","₹ N/A"
"Amarsingh Cricket Ground","Ghaziabad","₹ 3000/hr-day, 1000/hr-night"
"AMBADA CRICKET CLUB","Navsari","₹ N/A"
"Amigos Cricket Ground","Panipat Taraf Ansar","₹ N/A"
"Amit Pratap Singh","Navi Mumbai","₹ 900/hr-day, 1800/hr-night"
"Anand Singh Memoriyal Ground","Madhubani","₹ 500/hr-day, 1000/hr-night"
"Ananthapuram Cricket Ground","Chittoor district","₹ 250/hr-day, 1500/hr-night"
"Anantpura Cricket Ground","Toda Bhim","₹ 1/hr-day, 1/hr-night"
"Andhivadi Stadium Backside","Hosur","₹ 700/hr-day"
"ANGELS valley Cricket Academy Rajpura","Rajpura","₹ 3000/hr-day, 10000/hr-night"
"Anmol Kumar","Purnia","₹ 400/hr-day, 10000/hr-night"
"ANNADURAI CRICKET GROUND","Salem (Tamil Nadu)","₹ 2500/hr-day, 200/hr-night"
"AP Sports","Gurgaon","₹ 3500/hr-day, 6500/hr-night"
"AP sports cricket ground","Gurugram","₹ N/A"
"3 JsdJohdi Ground (whatdapp)","Suratgarh","₹ N/A"
"3S Cricket Academy Ground, Ghaziabad","Ghaziabad","₹ N/A"
"4 EKKAR (MARTHOMA GROUND)","Kollam","₹ 0/hr-day, 0/hr-night"
"40+ Belapur Sports Association Cricket Ground","Navi Mumbai","₹ 5000/hr-day, 9000/hr-night"
"4F CRICKET GROUND","Chenani","₹ 10000/hr-day"
"9t9 Cricket Academy","Haridwar","₹ 500/hr-day, 1000/hr-night"
"A Team Cricket Ground","Dumka","₹ 1000/hr-day, 500/hr-night"
"A3 Cricket Academy Ground","Delhi","₹ 3500/4hr"
"AAA Shivshakti Cricket Ground","Ahmedabad","₹ 7000/hr-day, 3000/hr-night"
